entry,Run,Subrun,Evt
353,2108,91,10
354,1600,77,21
355,2204,30,64
356,2103,29,24
357,3002,79,46
358,1602,85,30
359,2406,60,37
360,1602,42,80
361,1603,75,52
362,1603,25,28
363,1408,61,21
364,2400,5,36
365,2403,32,39
366,1407,26,11
367,2405,66,10
368,2405,66,34
369,2108,95,12
370,1601,85,78
371,1606,70,49
372,1601,97,72
373,2401,99,2
374,2403,56,16
375,2402,69,17
376,7000,86,37
377,7000,86,55
378,2209,31,43
379,2407,11,28
380,7000,20,41
381,2400,45,32
382,1200,20,6
383,2204,68,63
384,2208,77,54
385,2202,93,42
386,1709,22,49
387,1403,48,2
388,3004,2,11
389,2400,24,29
390,3007,21,7
391,3008,28,6
392,1404,23,73
393,3002,48,10
394,1202,56,68
395,2103,98,25
396,2402,44,37
397,2109,11,23
398,2109,11,56
399,2209,23,72
400,2402,56,4
401,2402,6,37
402,1404,33,38
403,1202,73,66
404,3008,96,23
405,3000,24,73
406,2405,81,32
407,2404,37,44
408,1602,50,8
409,1602,51,47
410,2408,7,31
411,3001,61,24
412,1407,40,45
413,1407,90,10
414,1409,42,4
415,3001,10,12
416,1204,45,58
417,1408,2,79
418,3003,9,47
419,1200,57,43
420,1200,57,77
421,1408,28,63
422,3005,62,2
423,6001,34,32
424,3004,70,33
425,1601,68,24
426,3006,75,7
427,1407,70,67
428,6000,15,52
429,3003,81,7
430,3002,17,28
431,1409,43,38
432,6001,42,69
433,1404,94,5
434,1400,14,38
435,6000,5,54
436,3005,98,20
437,3005,98,52
438,3003,85,73
439,1408,10,17
440,1604,7,47
441,3008,84,73
442,3005,28,77
443,6001,97,68
444,2407,97,35
445,1405,91,43
446,3003,25,8
447,1201,26,1
448,1201,26,44
449,3002,28,40
450,1603,23,6
451,3000,50,62
452,3005,78,26
453,6001,18,39
454,1407,93,24
455,3001,82,45
456,3000,7,69
457,3007,4,79
458,3009,31,15
459,1200,11,60
460,6000,77,9
461,3009,1,51
