entry,category,Run,Subrun,Evt
244,0.0,2107,82,37
245,0.0,2207,4,3
246,0.0,2209,37,6
247,4.0,2209,37,76
248,0.0,2103,64,21
249,1.0,2400,86,9
250,4.0,2400,63,20
251,3.0,2402,40,38
252,0.0,2402,93,17
253,3.0,2109,37,56
254,3.0,2107,47,19
255,4.0,2202,38,1
256,0.0,1602,99,45
257,0.0,2408,53,21
258,4.0,2400,88,25
259,3.0,2406,45,31
260,3.0,2408,51,25
261,0.0,2401,32,7
262,3.0,5001,40,50
263,0.0,2409,39,42
264,3.0,2409,20,6
265,0.0,5000,30,7
266,0.0,2106,40,3
267,3.0,2204,70,77
268,0.0,5000,63,57
269,0.0,4005,40,79
270,3.0,2201,62,52
271,1.0,1601,61,65
272,0.0,1602,18,1
273,0.0,2407,27,19
274,0.0,2201,69,49
275,3.0,2403,65,18
276,0.0,2203,41,12
277,0.0,2108,34,58
278,0.0,7000,11,73
279,4.0,2204,7,47
280,0.0,2406,69,37
281,0.0,2405,56,5
282,0.0,2408,32,32
283,4.0,2100,20,22
284,4.0,2100,5,69
285,0.0,2100,32,68
286,4.0,2203,46,77
287,1.0,1600,19,73
288,3.0,2406,35,28
289,0.0,2402,53,13
290,4.0,2400,94,37
291,1.0,1600,81,55
292,4.0,2405,57,24
293,3.0,1600,95,6
294,0.0,2209,39,50
295,0.0,1600,43,1
296,4.0,2401,43,9
297,3.0,2401,28,30
298,0.0,2202,30,29
299,0.0,5001,25,36
300,4.0,2206,59,1
301,4.0,2100,1,30
302,3.0,1606,50,2
303,3.0,1600,17,3
304,0.0,2207,40,52
305,0.0,1603,59,63
306,0.0,1600,90,42
307,4.0,2404,85,28
308,1.0,2203,90,17
309,3.0,2203,90,28
310,4.0,2207,19,26
311,0.0,5002,1,59
312,0.0,1601,9,23
313,4.0,1601,94,27
314,0.0,2402,73,4
315,1.0,5000,2,74
316,0.0,1804,85,56
317,4.0,5000,32,4
318,0.0,2102,70,51
319,0.0,2201,31,70
320,0.0,1602,70,33
321,0.0,1602,52,35
322,0.0,2406,28,24
323,4.0,2201,90,21
324,0.0,2200,80,7
325,0.0,2206,94,47
326,0.0,1607,83,25
327,0.0,1603,43,41
328,3.0,1601,89,40
329,4.0,2203,54,16
330,0.0,2203,70,13
331,0.0,2202,46,2
332,0.0,1601,21,16
333,0.0,2101,47,29
334,3.0,2403,28,6
335,0.0,2406,80,22
336,4.0,2409,36,9
337,0.0,2103,22,48
338,1.0,2109,35,73
339,3.0,2209,43,28
340,0.0,7000,21,67
341,4.0,2406,70,34
342,0.0,2108,33,70
343,4.0,1604,27,55
344,0.0,1602,56,34
345,1.0,1603,19,12
346,0.0,1602,12,30
347,3.0,2203,13,32
348,0.0,1602,27,80
349,0.0,2405,26,2
350,4.0,2102,83,41
351,4.0,2107,43,26
